product_id,product_name,category,subcategory,cost_price,selling_price,launch_date,rating
P0001,Decor Essential 1,Home,Decor,505.09,805.7,2025-07-20,3.7
P0002,Audio Classic 2,Electronics,Audio,945.12,1730.8,2025-04-25,5.0
P0003,Accessories Classic 3,Fashion,Accessories,383.53,830.64,2025-04-03,4.0
P0004,Outdoor Pro 4,Sports,Outdoor,1107.15,2211.24,2025-05-31,3.9
P0005,Women Pro 5,Fashion,Women,1100.64,2540.02,2025-07-16,3.8
P0006,Men Max 6,Fashion,Men,867.62,1495.85,2025-08-23,3.7
P0007,Decor Plus 7,Home,Decor,431.12,761.18,2025-06-21,4.3
P0008,Kitchen Max 8,Home,Kitchen,623.48,1559.18,2025-04-16,3.8
P0009,Footwear Max 9,Fashion,Footwear,411.34,993.88,2025-03-18,4.1
P0010,Decor Max 10,Home,Decor,150.97,362.7,2025-01-16,4.2
P0011,Personal Care Plus 11,Beauty,Personal Care,290.41,719.58,2025-08-15,4.1
P0012,Haircare Plus 12,Beauty,Haircare,160.52,297.35,2025-02-04,4.1
P0013,Women Plus 13,Fashion,Women,689.58,1636.11,2025-02-25,4.1
P0014,Fitness Max 14,Sports,Fitness,305.57,720.89,2025-06-07,4.5
P0015,Sportswear Pro 15,Sports,Sportswear,477.08,1074.91,2025-03-22,3.8
P0016,Haircare Pro 16,Beauty,Haircare,1043.19,1720.78,2025-03-19,3.6
P0017,Outdoor Max 17,Sports,Outdoor,540.01,1056.14,2025-03-18,4.2
P0018,Audio Classic 18,Electronics,Audio,287.03,639.39,2025-04-27,3.9
P0019,Computing Max 19,Electronics,Computing,271.12,435.37,2025-08-04,4.6
P0020,Decor Max 20,Home,Decor,296.73,696.25,2025-06-29,4.5
P0021,Haircare Classic 21,Beauty,Haircare,1514.88,3094.19,2025-06-07,4.6
P0022,Computing Pro 22,Electronics,Computing,293.01,489.55,2025-06-17,4.1
P0023,Storage Max 23,Home,Storage,210.38,366.76,2025-04-13,4.1
P0024,Sportswear Essential 24,Sports,Sportswear,290.66,669.62,2025-06-22,4.0
P0025,Kitchen Essential 25,Home,Kitchen,384.68,736.21,2025-06-17,3.7
P0026,Audio Pro 26,Electronics,Audio,584.5,1542.6,2025-04-13,4.3
P0027,Outdoor Max 27,Sports,Outdoor,723.99,1133.18,2025-07-27,4.4
P0028,Decor Pro 28,Home,Decor,1126.73,2330.11,2025-04-26,4.1
P0029,Men Essential 29,Fashion,Men,145.43,305.7,2025-05-04,3.7
P0030,Decor Max 30,Home,Decor,127.32,271.61,2025-06-23,5.0
P0031,Kitchen Pro 31,Home,Kitchen,388.22,862.68,2025-01-15,4.4
P0032,Fitness Essential 32,Sports,Fitness,289.13,639.32,2025-01-13,3.9
P0033,Skincare Plus 33,Beauty,Skincare,569.87,1420.96,2025-07-27,4.4
P0034,Audio Pro 34,Electronics,Audio,746.76,1494.08,2025-06-19,4.0
P0035,Smart Devices Pro 35,Electronics,Smart Devices,1686.42,3802.55,2025-02-10,4.7
P0036,Sportswear Essential 36,Sports,Sportswear,299.66,786.71,2025-06-16,4.6
P0037,Men Max 37,Fashion,Men,200.99,321.66,2025-01-12,3.3
P0038,Outdoor Pro 38,Sports,Outdoor,427.9,1089.2,2025-01-19,3.9
P0039,Storage Essential 39,Home,Storage,663.49,1559.79,2025-01-04,4.6
P0040,Kitchen Pro 40,Home,Kitchen,386.04,935.66,2025-08-02,4.9
P0041,Personal Care Classic 41,Beauty,Personal Care,873.98,1763.94,2025-01-23,3.3
P0042,Accessories Max 42,Fashion,Accessories,411.29,969.95,2025-08-09,3.7
P0043,Decor Max 43,Home,Decor,568.49,982.22,2025-08-25,3.7
P0044,Women Pro 44,Fashion,Women,1250.17,2291.31,2025-04-23,3.4
P0045,Accessories Plus 45,Fashion,Accessories,674.41,1290.59,2025-07-17,3.0
P0046,Kitchen Classic 46,Home,Kitchen,1200.55,2828.4,2025-05-06,4.6
P0047,Accessories Essential 47,Fashion,Accessories,970.1,1383.03,2025-06-06,3.9
P0048,Mobile Accessories Classic 48,Electronics,Mobile Accessories,479.45,848.8,2025-06-06,4.3
P0049,Accessories Max 49,Fashion,Accessories,221.6,539.4,2025-03-17,4.4
P0050,Decor Plus 50,Home,Decor,1624.57,3625.78,2025-08-05,3.9
P0051,Footwear Plus 51,Fashion,Footwear,521.31,1418.9,2025-08-09,4.0
P0052,Personal Care Max 52,Beauty,Personal Care,769.37,1089.36,2025-04-15,3.5
P0053,Outdoor Plus 53,Sports,Outdoor,1653.71,3083.81,2025-04-30,4.4
P0054,Skincare Pro 54,Beauty,Skincare,2671.73,4303.91,2025-04-08,4.6
P0055,Footwear Max 55,Fashion,Footwear,621.51,1136.75,2025-05-05,3.9
P0056,Haircare Classic 56,Beauty,Haircare,926.19,2042.12,2025-01-13,4.4
P0057,Decor Pro 57,Home,Decor,829.64,1789.73,2025-05-18,3.8
P0058,Accessories Essential 58,Fashion,Accessories,219.06,470.36,2025-05-10,3.6
P0059,Audio Max 59,Electronics,Audio,1485.32,3341.4,2025-04-22,4.7
P0060,Decor Classic 60,Home,Decor,391.35,793.05,2025-03-11,4.5
P0061,Men Pro 61,Fashion,Men,963.57,2174.42,2025-05-10,3.3
P0062,Mobile Accessories Max 62,Electronics,Mobile Accessories,482.22,1118.81,2025-07-05,4.3
P0063,Storage Classic 63,Home,Storage,1292.69,2987.3,2025-06-30,4.0
P0064,Women Essential 64,Fashion,Women,1289.91,2872.54,2025-03-01,3.9
P0065,Men Pro 65,Fashion,Men,476.08,1326.47,2025-08-08,3.3
P0066,Haircare Classic 66,Beauty,Haircare,221.32,549.15,2025-05-24,4.4
P0067,Storage Essential 67,Home,Storage,424.44,743.12,2025-05-16,4.8
P0068,Skincare Classic 68,Beauty,Skincare,2401.94,4005.18,2025-03-20,4.9
P0069,Women Essential 69,Fashion,Women,902.87,2087.12,2025-05-28,4.1
P0070,Fitness Essential 70,Sports,Fitness,521.93,1240.5,2025-08-22,3.4
P0071,Smart Devices Max 71,Electronics,Smart Devices,942.89,1632.22,2025-03-21,4.2
P0072,Accessories Pro 72,Fashion,Accessories,442.67,680.94,2025-08-07,3.9
P0073,Computing Classic 73,Electronics,Computing,179.59,273.82,2025-07-27,3.5
P0074,Appliances Plus 74,Home,Appliances,482.42,1322.86,2025-03-19,4.5
P0075,Computing Essential 75,Electronics,Computing,683.74,1581.91,2025-05-19,4.3
P0076,Appliances Essential 76,Home,Appliances,141.2,274.67,2025-04-23,4.3
P0077,Skincare Classic 77,Beauty,Skincare,162.32,291.52,2025-02-03,4.7
P0078,Sportswear Pro 78,Sports,Sportswear,1558.16,2337.96,2025-03-19,3.6
P0079,Kitchen Max 79,Home,Kitchen,727.79,1680.47,2025-04-05,3.9
P0080,Computing Plus 80,Electronics,Computing,608.75,1437.11,2025-05-07,3.9
P0081,Women Plus 81,Fashion,Women,719.12,1727.85,2025-01-11,4.1
P0082,Audio Essential 82,Electronics,Audio,499.94,1491.09,2025-01-13,4.3
P0083,Footwear Plus 83,Fashion,Footwear,198.53,388.81,2025-02-05,4.6
P0084,Skincare Plus 84,Beauty,Skincare,428.49,738.54,2025-03-27,3.9
P0085,Audio Classic 85,Electronics,Audio,436.72,975.31,2025-07-05,3.9
P0086,Storage Classic 86,Home,Storage,498.11,1439.25,2025-05-27,3.9
P0087,Fitness Plus 87,Sports,Fitness,1740.19,3853.09,2025-02-16,4.7
P0088,Appliances Pro 88,Home,Appliances,567.19,1149.03,2025-05-29,4.4
P0089,Audio Max 89,Electronics,Audio,676.72,1266.04,2025-05-26,4.0
P0090,Audio Classic 90,Electronics,Audio,618.97,1377.97,2025-03-11,3.7
P0091,Audio Pro 91,Electronics,Audio,926.28,1946.04,2025-08-22,3.9
P0092,Outdoor Essential 92,Sports,Outdoor,1292.85,3073.03,2025-07-12,4.1
P0093,Outdoor Classic 93,Sports,Outdoor,995.23,3134.55,2025-05-20,3.7
P0094,Decor Essential 94,Home,Decor,429.77,948.86,2025-02-14,3.3
P0095,Sportswear Pro 95,Sports,Sportswear,477.86,740.28,2025-08-11,3.5
P0096,Storage Classic 96,Home,Storage,249.19,530.49,2025-03-06,5.0
P0097,Sportswear Max 97,Sports,Sportswear,862.66,1230.57,2025-02-16,3.7
P0098,Skincare Plus 98,Beauty,Skincare,403.37,750.24,2025-06-05,4.1
P0099,Computing Essential 99,Electronics,Computing,425.59,642.47,2025-01-13,4.3
P0100,Personal Care Classic 100,Beauty,Personal Care,219.51,465.67,2025-07-19,4.4
P0101,Footwear Plus 101,Fashion,Footwear,491.87,1285.53,2025-03-06,3.7
P0102,Decor Essential 102,Home,Decor,553.26,1291.96,2025-05-27,3.1
P0103,Men Essential 103,Fashion,Men,1016.09,2521.45,2025-05-29,4.9
P0104,Accessories Essential 104,Fashion,Accessories,347.45,843.25,2025-06-12,4.1
P0105,Personal Care Max 105,Beauty,Personal Care,422.69,940.45,2025-08-03,4.5
P0106,Mobile Accessories Plus 106,Electronics,Mobile Accessories,288.93,644.65,2025-01-19,4.1
P0107,Women Essential 107,Fashion,Women,242.76,424.03,2025-04-03,3.6
P0108,Mobile Accessories Plus 108,Electronics,Mobile Accessories,304.93,555.95,2025-03-03,4.0
P0109,Mobile Accessories Max 109,Electronics,Mobile Accessories,307.25,714.76,2025-05-27,4.6
P0110,Skincare Max 110,Beauty,Skincare,99.92,281.18,2025-02-26,4.5
P0111,Footwear Pro 111,Fashion,Footwear,575.8,1267.69,2025-06-25,4.6
P0112,Personal Care Essential 112,Beauty,Personal Care,287.05,425.01,2025-01-16,4.1
P0113,Storage Pro 113,Home,Storage,539.14,1259.0,2025-02-25,3.9
P0114,Storage Pro 114,Home,Storage,361.96,668.98,2025-04-21,4.7
P0115,Kitchen Plus 115,Home,Kitchen,2910.38,5218.32,2025-02-11,4.9
P0116,Women Plus 116,Fashion,Women,269.91,525.22,2025-07-07,4.4
P0117,Skincare Pro 117,Beauty,Skincare,217.43,508.96,2025-01-18,3.6
P0118,Footwear Classic 118,Fashion,Footwear,566.96,872.57,2025-06-06,4.5
P0119,Computing Plus 119,Electronics,Computing,492.25,886.46,2025-03-04,4.8
P0120,Personal Care Plus 120,Beauty,Personal Care,1271.92,2501.47,2025-02-16,4.4
P0121,Haircare Classic 121,Beauty,Haircare,892.92,1710.34,2025-02-09,4.2
P0122,Outdoor Pro 122,Sports,Outdoor,382.83,827.57,2025-02-12,4.4
P0123,Storage Essential 123,Home,Storage,1038.85,1854.77,2025-04-07,5.0
P0124,Haircare Max 124,Beauty,Haircare,444.07,762.28,2025-04-11,4.1
P0125,Accessories Essential 125,Fashion,Accessories,519.08,1168.73,2025-02-01,4.3
P0126,Decor Classic 126,Home,Decor,400.72,837.88,2025-06-27,4.3
P0127,Sportswear Plus 127,Sports,Sportswear,485.07,971.01,2025-08-15,4.3
P0128,Men Pro 128,Fashion,Men,329.76,824.85,2025-03-30,3.7
P0129,Decor Pro 129,Home,Decor,533.38,1290.96,2025-07-08,3.3
P0130,Fitness Essential 130,Sports,Fitness,305.93,866.92,2025-03-06,4.9
P0131,Audio Classic 131,Electronics,Audio,909.59,1738.8,2025-07-22,3.5
P0132,Storage Pro 132,Home,Storage,389.09,843.1,2025-03-09,4.4
P0133,Mobile Accessories Max 133,Electronics,Mobile Accessories,1042.29,1934.69,2025-05-08,4.5
P0134,Audio Classic 134,Electronics,Audio,1187.51,2688.3,2025-03-10,4.5
P0135,Sportswear Plus 135,Sports,Sportswear,1373.14,2391.2,2025-02-10,4.3
P0136,Decor Classic 136,Home,Decor,871.96,1969.74,2025-08-25,4.0
P0137,Smart Devices Essential 137,Electronics,Smart Devices,682.94,1193.77,2025-03-01,4.0
P0138,Outdoor Max 138,Sports,Outdoor,277.36,503.83,2025-06-05,4.2
P0139,Mobile Accessories Essential 139,Electronics,Mobile Accessories,346.0,758.18,2025-06-08,4.3
P0140,Mobile Accessories Pro 140,Electronics,Mobile Accessories,292.29,595.3,2025-03-09,3.4
P0141,Audio Classic 141,Electronics,Audio,197.14,484.48,2025-07-24,4.2
P0142,Mobile Accessories Plus 142,Electronics,Mobile Accessories,502.61,988.44,2025-07-22,4.0
P0143,Computing Essential 143,Electronics,Computing,445.7,1043.31,2025-01-08,3.8
P0144,Men Plus 144,Fashion,Men,142.84,256.5,2025-06-04,3.4
P0145,Fitness Classic 145,Sports,Fitness,1359.92,2486.8,2025-01-24,3.7
P0146,Fitness Classic 146,Sports,Fitness,372.23,671.3,2025-01-22,4.0
P0147,Personal Care Classic 147,Beauty,Personal Care,204.12,457.96,2025-04-24,4.3
P0148,Smart Devices Max 148,Electronics,Smart Devices,254.44,433.2,2025-02-25,4.3
P0149,Kitchen Plus 149,Home,Kitchen,394.59,753.48,2025-04-14,3.0
P0150,Fitness Essential 150,Sports,Fitness,803.37,1680.3,2025-08-02,4.3
P0151,Men Essential 151,Fashion,Men,1233.41,2321.03,2025-05-31,3.5
P0152,Men Max 152,Fashion,Men,545.16,1265.82,2025-04-05,4.4
P0153,Accessories Pro 153,Fashion,Accessories,469.71,778.48,2025-02-16,3.4
P0154,Audio Max 154,Electronics,Audio,1301.25,2525.99,2025-08-13,5.0
P0155,Audio Pro 155,Electronics,Audio,594.91,1196.02,2025-07-28,4.0
P0156,Smart Devices Classic 156,Electronics,Smart Devices,419.32,637.98,2025-08-16,3.5
P0157,Women Pro 157,Fashion,Women,591.06,1256.51,2025-04-19,3.7
P0158,Haircare Max 158,Beauty,Haircare,659.92,1153.0,2025-03-11,4.2
P0159,Sportswear Plus 159,Sports,Sportswear,880.95,1929.06,2025-07-02,3.8
P0160,Men Max 160,Fashion,Men,700.28,1296.69,2025-07-22,4.1
P0161,Mobile Accessories Pro 161,Electronics,Mobile Accessories,1564.53,2729.97,2025-04-01,3.6
P0162,Outdoor Essential 162,Sports,Outdoor,871.68,1718.15,2025-03-24,4.1
P0163,Men Classic 163,Fashion,Men,994.07,2380.4,2025-07-13,3.8
P0164,Haircare Essential 164,Beauty,Haircare,630.09,1370.99,2025-05-31,4.0
P0165,Men Classic 165,Fashion,Men,605.89,1689.58,2025-06-03,4.2
P0166,Accessories Essential 166,Fashion,Accessories,475.55,941.56,2025-06-16,3.8
P0167,Computing Classic 167,Electronics,Computing,634.67,1594.72,2025-05-15,4.6
P0168,Personal Care Pro 168,Beauty,Personal Care,427.19,708.63,2025-08-28,4.0
P0169,Mobile Accessories Plus 169,Electronics,Mobile Accessories,622.98,1468.01,2025-07-25,5.0
P0170,Women Classic 170,Fashion,Women,601.29,1277.94,2025-06-21,4.9
P0171,Kitchen Pro 171,Home,Kitchen,212.93,512.91,2025-03-27,4.5
P0172,Footwear Pro 172,Fashion,Footwear,673.84,928.2,2025-04-07,4.3
P0173,Men Pro 173,Fashion,Men,2189.02,5549.5,2025-08-20,4.7
P0174,Sportswear Essential 174,Sports,Sportswear,704.92,1115.04,2025-02-01,4.0
P0175,Appliances Classic 175,Home,Appliances,1130.31,2897.87,2025-02-09,4.7
P0176,Appliances Max 176,Home,Appliances,1216.13,3022.64,2025-03-24,4.2
P0177,Outdoor Pro 177,Sports,Outdoor,569.26,1132.97,2025-02-17,3.8
P0178,Appliances Essential 178,Home,Appliances,1032.49,2174.86,2025-01-23,4.4
P0179,Accessories Essential 179,Fashion,Accessories,211.84,443.57,2025-04-08,4.2
P0180,Storage Plus 180,Home,Storage,468.59,940.83,2025-03-06,4.2
P0181,Men Classic 181,Fashion,Men,2418.58,4752.17,2025-08-26,4.0
P0182,Footwear Plus 182,Fashion,Footwear,735.85,1631.24,2025-01-08,4.7
P0183,Mobile Accessories Classic 183,Electronics,Mobile Accessories,235.07,651.11,2025-03-13,4.2
P0184,Mobile Accessories Plus 184,Electronics,Mobile Accessories,791.34,1646.28,2025-04-16,4.4
P0185,Smart Devices Pro 185,Electronics,Smart Devices,932.53,2109.42,2025-01-24,3.5
P0186,Footwear Classic 186,Fashion,Footwear,1495.88,3089.76,2025-03-29,4.1
P0187,Appliances Classic 187,Home,Appliances,1103.76,2415.5,2025-03-20,4.2
P0188,Women Classic 188,Fashion,Women,2610.53,7017.93,2025-02-28,4.5
P0189,Outdoor Plus 189,Sports,Outdoor,205.09,417.23,2025-07-01,3.9
P0190,Kitchen Max 190,Home,Kitchen,413.3,1168.23,2025-06-26,4.1
P0191,Women Classic 191,Fashion,Women,2156.33,5136.7,2025-02-22,4.0
P0192,Men Essential 192,Fashion,Men,702.76,1486.42,2025-04-03,4.0
P0193,Appliances Max 193,Home,Appliances,129.07,186.25,2025-04-13,4.1
P0194,Skincare Pro 194,Beauty,Skincare,433.78,768.69,2025-05-23,4.4
P0195,Kitchen Plus 195,Home,Kitchen,412.93,839.65,2025-03-19,4.7
P0196,Haircare Essential 196,Beauty,Haircare,407.7,978.94,2025-01-05,4.0
P0197,Computing Max 197,Electronics,Computing,701.26,1151.04,2025-03-20,4.6
P0198,Outdoor Classic 198,Sports,Outdoor,1259.03,2517.25,2025-04-26,3.8
P0199,Kitchen Essential 199,Home,Kitchen,720.23,1962.78,2025-06-18,4.4
P0200,Kitchen Max 200,Home,Kitchen,513.79,851.2,2025-08-21,4.2
